"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005975","carbohydrate metabolic process","91/784","281/6449",0.323843416370107,2.66385993899339,10.6088505487167,4.4237362874586e-20,6.84352003669845e-17,5.85330159298469e-17,"YAL038W/YBR126C/YBR196C/YBR239C/YBR297W/YBR299W/YCL018W/YCL040W/YCR012W/YDL021W/YDL022W/YDL049C/YDL055C/YDL085W/YDR074W/YEL070W/YER003C/YER062C/YER065C/YFL045C/YFL053W/YFR015C/YFR042W/YFR053C/YGL062W/YGR043C/YGR087C/YGR143W/YGR189C/YGR248W/YGR256W/YGR287C/YHL032C/YHR043C/YHR174W/YHR210C/YIL024C/YIL045W/YIL053W/YIL099W/YIL123W/YIL155C/YIL162W/YJL034W/YJL052W/YJL200C/YJR009C/YJR096W/YKL035W/YKL038W/YKL060C/YKL152C/YKR058W/YKR097W/YLR044C/YLR134W/YLR174W/YLR286C/YLR300W/YLR377C/YLR446W/YML051W/YML070W/YMR145C/YMR170C/YMR205C/YMR215W/YMR278W/YMR305C/YMR323W/YNL241C/YNR001C/YNR034W/YNR067C/YNR071C/YNR073C/YOL059W/YOL086C/YOL126C/YOR047C/YOR095C/YOR344C/YOR347C/YOR393W/YPL061W/YPL075W/YPL201C/YPL227C/YPR001W/YPR026W/YPR184W",91
"GO:0006091","generation of precursor metabolites and energy","75/784","233/6449",0.321888412017167,2.64777853201366,9.52997774912491,1.65816744649544e-16,1.28259251986422e-13,1.09700867381303e-13,"Q0060/YAL038W/YBL021C/YBR117C/YBR196C/YBR238C/YCL040W/YCR012W/YDL021W/YDL067C/YDL085W/YDR529C/YER065C/YFL053W/YFR015C/YFR049W/YFR053C/YGL062W/YGR043C/YGR087C/YGR248W/YGR256W/YHR174W/YIL024C/YIL045W/YIL070C/YIL099W/YIL111W/YJL052W/YJL116C/YJL200C/YJR009C/YJR048W/YJR120W/YJR121W/YKL035W/YKL060C/YKL152C/YKR058W/YLR038C/YLR044C/YLR134W/YLR164W/YLR174W/YLR377C/YLR395C/YLR446W/YML070W/YMR002W/YMR118C/YMR145C/YMR170C/YMR205C/YMR256C/YMR315W/YMR323W/YNL037C/YNL052W/YNL241C/YNR001C/YNR034W/YOL086C/YOL126C/YOR095C/YOR344C/YOR347C/YOR356W/YOR393W/YPL061W/YPL075W/YPL252C/YPL262W/YPL271W/YPR001W/YPR184W",75
"GO:0046034","ATP metabolic process","31/784","54/6449",0.574074074074074,4.72219860166289,10.2175491566079,1.69928652577025e-15,8.76265418455526e-13,7.49474793997616e-13,"YAL038W/YBR196C/YCL040W/YCR012W/YDL004W/YDL021W/YDR226W/YDR322C-A/YFR053C/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR377C/YLR446W/YML081C-A/YMR205C/YMR323W/YOL077W-A/YOR344C/YOR347C/YOR393W/YPL075W/YPL078C/YPL271W/YPR020W",31
"GO:0055085","transmembrane transport","118/784","486/6449",0.242798353909465,1.99720227597212,8.50431973016555,8.74623667723524e-15,3.38260703492073e-12,2.89316302718018e-12,"Q0060/YAL067C/YAR035W/YBR043C/YBR068C/YBR069C/YBR091C/YBR235W/YBR294W/YCL025C/YCL040W/YCR011C/YCR098C/YDL004W/YDL022W/YDL067C/YDL138W/YDL210W/YDL245C/YDR046C/YDR135C/YDR277C/YDR322C-A/YDR338C/YDR342C/YDR343C/YDR345C/YDR406W/YDR508C/YDR529C/YDR536W/YEL063C/YEL069C/YER053C/YER103W/YER119C/YER145C/YFR053C/YGL008C/YGL080W/YGL114W/YGR055W/YGR121C/YGR125W/YGR191W/YGR224W/YGR243W/YGR260W/YHL028W/YHL036W/YHR092C/YHR094C/YHR096C/YHR160C/YIL111W/YIR028W/YJL034W/YJL104W/YJL163C/YJL193W/YJL212C/YJL214W/YJR077C/YJR095W/YJR121W/YKL016C/YKL073W/YKL197C/YKL217W/YKR093W/YLR004C/YLR008C/YLR038C/YLR136C/YLR152C/YLR237W/YLR259C/YLR295C/YLR378C/YLR395C/YML038C/YML055W/YML081C-A/YML123C/YMR088C/YMR203W/YMR205C/YMR241W/YMR256C/YMR279C/YMR319C/YNL052W/YNL065W/YNL070W/YNL142W/YNR072W/YOL075C/YOL077W-A/YOL126C/YOL130W/YOR020C/YOR045W/YOR092W/YOR153W/YOR161C/YOR232W/YOR273C/YOR306C/YOR348C/YPL006W/YPL078C/YPL092W/YPL244C/YPL265W/YPL271W/YPR020W/YPR115W/YPR124W",118
"GO:0072521","purine-containing compound metabolic process","63/784","192/6449",0.328125,2.69907924107143,8.89102352424287,1.84902478189418e-14,4.87530703139296e-12,4.16987782020274e-12,"YAL038W/YBR117C/YBR196C/YCL040W/YCR012W/YDL004W/YDL021W/YDL238C/YDR226W/YDR322C-A/YFR053C/YGL126W/YGR043C/YGR248W/YGR256W/YHR174W/YHR202W/YIL155C/YIR027C/YIR028W/YJL005W/YJL052W/YJL116C/YJR009C/YJR010W/YJR078W/YJR121W/YKL001C/YKL016C/YKL060C/YKL152C/YKR080W/YLR174W/YLR231C/YLR295C/YLR377C/YLR446W/YML022W/YML075C/YML081C-A/YMR169C/YMR170C/YMR205C/YMR207C/YMR278W/YMR315W/YMR323W/YNL129W/YNL141W/YNL241C/YNR001C/YNR034W/YOL077W-A/YOR095C/YOR317W/YOR344C/YOR347C/YOR393W/YPL061W/YPL075W/YPL078C/YPL271W/YPR020W",63
"GO:0043436","oxoacid metabolic process","100/784","387/6449",0.258397932816537,2.12552075093603,8.49516095116221,1.92046231492149e-14,4.87530703139296e-12,4.16987782020274e-12,"YAL012W/YAL038W/YAR035W/YBL015W/YBR084W/YBR196C/YCL018W/YCL026C-A/YCL040W/YCL064C/YCR012W/YCR034W/YCR084C/YDL021W/YDL168W/YDL219W/YDR089W/YDR354W/YDR380W/YEL020C/YEL071W/YER010C/YER052C/YER065C/YFR049W/YFR053C/YGL055W/YGL062W/YGL148W/YGL205W/YGR019W/YGR087C/YGR124W/YGR256W/YHR067W/YHR174W/YHR205W/YIL074C/YIL160C/YIR017C/YJL052W/YJL097W/YJL200C/YJR009C/YJR010W/YJR078W/YJR148W/YKL001C/YKL060C/YKL152C/YKR009C/YKR034W/YKR080W/YLL062C/YLR027C/YLR044C/YLR058C/YLR134W/YLR142W/YLR174W/YLR231C/YLR303W/YLR372W/YLR377C/YLR438W/YLR446W/YML054C/YML123C/YMR009W/YMR169C/YMR170C/YMR205C/YMR207C/YMR250W/YMR272C/YMR323W/YNL037C/YNL217W/YNR001C/YOL002C/YOL058W/YOL086C/YOL126C/YOR317W/YOR344C/YOR347C/YOR375C/YOR391C/YOR393W/YPL017C/YPL061W/YPL075W/YPL095C/YPL111W/YPL262W/YPR001W/YPR002W/YPR006C/YPR035W/YPR167C",100
"GO:0006163","purine nucleotide metabolic process","51/784","137/6449",0.372262773722628,3.0621462088485,9.0754220558187,2.20602128117329e-14,4.87530703139296e-12,4.16987782020274e-12,"YAL038W/YBR117C/YBR196C/YCL040W/YCR012W/YDL004W/YDL021W/YDR226W/YDR322C-A/YFR053C/YGR043C/YGR248W/YGR256W/YHR174W/YHR202W/YIL155C/YJL005W/YJL052W/YJL116C/YJR009C/YJR010W/YJR078W/YJR121W/YKL001C/YKL016C/YKL060C/YKL152C/YKR080W/YLR174W/YLR231C/YLR295C/YLR377C/YLR446W/YML022W/YML081C-A/YMR205C/YMR315W/YMR323W/YNL129W/YNL241C/YNR034W/YOL077W-A/YOR095C/YOR344C/YOR347C/YOR393W/YPL061W/YPL075W/YPL078C/YPL271W/YPR020W",51
"GO:0006082","organic acid metabolic process","100/784","389/6449",0.25706940874036,2.11459262368186,8.4357799365127,2.7520955506662e-14,5.32186477110077e-12,4.55182119366766e-12,"YAL012W/YAL038W/YAR035W/YBL015W/YBR084W/YBR196C/YCL018W/YCL026C-A/YCL040W/YCL064C/YCR012W/YCR034W/YCR084C/YDL021W/YDL168W/YDL219W/YDR089W/YDR354W/YDR380W/YEL020C/YEL071W/YER010C/YER052C/YER065C/YFR049W/YFR053C/YGL055W/YGL062W/YGL148W/YGL205W/YGR019W/YGR087C/YGR124W/YGR256W/YHR067W/YHR174W/YHR205W/YIL074C/YIL160C/YIR017C/YJL052W/YJL097W/YJL200C/YJR009C/YJR010W/YJR078W/YJR148W/YKL001C/YKL060C/YKL152C/YKR009C/YKR034W/YKR080W/YLL062C/YLR027C/YLR044C/YLR058C/YLR134W/YLR142W/YLR174W/YLR231C/YLR303W/YLR372W/YLR377C/YLR438W/YLR446W/YML054C/YML123C/YMR009W/YMR169C/YMR170C/YMR205C/YMR207C/YMR250W/YMR272C/YMR323W/YNL037C/YNL217W/YNR001C/YOL002C/YOL058W/YOL086C/YOL126C/YOR317W/YOR344C/YOR347C/YOR375C/YOR391C/YOR393W/YPL017C/YPL061W/YPL075W/YPL095C/YPL111W/YPL262W/YPR001W/YPR002W/YPR006C/YPR035W/YPR167C",100
"GO:0019752","carboxylic acid metabolic process","96/784","369/6449",0.260162601626016,2.14003650240584,8.38978321481953,4.33542481719792e-14,7.32375161781424e-12,6.26404639444255e-12,"YAL012W/YAL038W/YAR035W/YBL015W/YBR084W/YBR196C/YCL018W/YCL026C-A/YCL040W/YCL064C/YCR012W/YCR034W/YCR084C/YDL021W/YDL168W/YDL219W/YDR354W/YDR380W/YEL020C/YEL071W/YER010C/YER052C/YER065C/YFR049W/YFR053C/YGL055W/YGL062W/YGL148W/YGL205W/YGR019W/YGR087C/YGR124W/YGR256W/YHR067W/YHR174W/YHR205W/YIL074C/YIL160C/YIR017C/YJL052W/YJL097W/YJL200C/YJR009C/YJR010W/YJR078W/YJR148W/YKL001C/YKL060C/YKL152C/YKR009C/YKR080W/YLL062C/YLR027C/YLR044C/YLR058C/YLR134W/YLR142W/YLR174W/YLR231C/YLR303W/YLR372W/YLR377C/YLR438W/YLR446W/YML054C/YMR009W/YMR169C/YMR170C/YMR205C/YMR207C/YMR250W/YMR272C/YMR323W/YNL037C/YNR001C/YOL002C/YOL058W/YOL086C/YOL126C/YOR317W/YOR344C/YOR347C/YOR375C/YOR391C/YOR393W/YPL017C/YPL061W/YPL075W/YPL095C/YPL111W/YPL262W/YPR001W/YPR002W/YPR006C/YPR035W/YPR167C",96
"GO:0009205","purine ribonucleoside triphosphate metabolic process","31/784","59/6449",0.525423728813559,4.32201227948807,9.53558625223458,4.73416394170281e-14,7.32375161781424e-12,6.26404639444255e-12,"YAL038W/YBR196C/YCL040W/YCR012W/YDL004W/YDL021W/YDR226W/YDR322C-A/YFR053C/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR377C/YLR446W/YML081C-A/YMR205C/YMR323W/YOL077W-A/YOR344C/YOR347C/YOR393W/YPL075W/YPL078C/YPL271W/YPR020W",31
"GO:0009144","purine nucleoside triphosphate metabolic process","31/784","61/6449",0.508196721311475,4.18030695884911,9.28372124853771,1.56449392738584e-13,2.20024736878717e-11,1.88188408298947e-11,"YAL038W/YBR196C/YCL040W/YCR012W/YDL004W/YDL021W/YDR226W/YDR322C-A/YFR053C/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR377C/YLR446W/YML081C-A/YMR205C/YMR323W/YOL077W-A/YOR344C/YOR347C/YOR393W/YPL075W/YPL078C/YPL271W/YPR020W",31
