"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Q0010",9.31360607283274,1.52627275524424,0.566519213044561,0.000592444326307141,0.00197175532811688
"Q0045",11101.1937602691,-2.46099675327538,0.260647300923348,3.77183518462515e-23,2.63619468747115e-21
"Q0060",295.283587079682,-1.66338934509741,0.324898792612224,2.07675241175461e-08,1.82810936882982e-07
"Q0075",62.6332581608776,-2.05301697049611,0.303038450533839,2.727605897344e-13,4.97573641839388e-12
"Q0080",10.3941750948553,0.686374333838677,0.505048333879317,0.0934176371667128,0.153997076784342
"Q0085",607.117021252308,-3.34536082584561,0.437721985423412,5.31449073118756e-17,1.63118310749307e-15
"Q0105",4969.62920088064,-2.83174255414881,0.292211574819036,2.37157193303039e-24,1.81019589256701e-22
"Q0110",187.503203147744,-1.67064355123757,0.603794388076506,0.000313419821286918,0.00112162145791821
"Q0115",22.1150735314138,-0.174293613589095,0.698989736602029,0.694220139913801,0.768397449273032
"Q0120",283.677411930181,-1.80954461703725,0.420402468084487,7.13646457129131e-07,4.72048243763522e-06
"Q0130",9889.13673401805,1.84470696717343,0.277046602828494,1.08649418456284e-12,1.81635526358761e-11
"Q0140",19.6783114160138,0.573394454885276,0.398140710980331,0.101015204425635,0.164372847369736
"Q0250",3203.12791215014,-2.6956986857751,0.322817502927965,5.27052173117837e-19,2.13806269668292e-17
"Q0255",62.7059465470219,-6.7536451033031,0.790678357037765,1.86642036824411e-19,8.0799287732717e-18
"Q0275",1803.82658885697,-2.04682995292661,0.342638626049355,5.17808745000752e-11,7.01824422838636e-10
"Q0297",35.2848685213972,-0.750509852162782,0.340423809536683,0.0153300319166196,0.0334195847983127
"YAL001C",162.480974064557,-0.837015669380016,0.188561939540741,4.87168134862489e-06,2.66107565945131e-05
"YAL002W",73.999293638725,-0.384127747338879,0.246068107098286,0.100971222291696,0.164347379493302
"YAL003W",353.723132151979,-1.56955422821468,0.262791929053123,2.16977056081842e-10,2.67236497310141e-09
"YAL005C",3034.39420106575,1.20325392526139,0.152732186480607,9.11515309839075e-16,2.39817584674134e-14
"YAL007C",67.3238955626351,-0.808856694672231,0.246614274149049,0.000565212127824034,0.00189197666099667
"YAL008W",60.0694642224305,-0.214559917557275,0.264663243811619,0.390953432167279,0.493500915329851
"YAL009W",28.6701117864595,-1.27526029385016,0.362877102118768,8.71254632718958e-05,0.000357436218133145
"YAL010C",20.4984304067592,-1.0868255285688,0.396899864642596,0.00181861340313924,0.00524864495105012
"YAL011W",61.5413444499325,1.45352946001213,0.434067304765782,9.4231862576193e-05,0.000383337331559955
"YAL012W",101.42967294384,0.623012005712252,0.204623852235191,0.0016266362777301,0.00478990713051386
"YAL013W",43.5491067729938,0.634027385871448,0.292056746091102,0.0199212733744355,0.0417346720278441
