"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Q0010",9.31360607283274,0.31537230425805,0.487655250026234,0.355998193425014,0.496710571179169
"Q0045",11101.1937602691,0.401786932108883,0.243125313411347,0.0720509464347354,0.146347177964951
"Q0060",295.283587079682,1.17427357262771,0.315198809981451,1.84541114456049e-05,0.000129603269365562
"Q0075",62.6332581608776,0.6111134641864,0.264105732635721,0.011102362174837,0.0320103394514062
"Q0080",10.3941750948553,-0.24833061895481,0.432947251081121,0.451355438521491,0.588784853700606
"Q0085",607.117021252308,-0.0879187793400019,0.355419398537852,0.767487980807022,0.845140048720868
"Q0105",4969.62920088064,0.124078505478527,0.263279210774497,0.602181051460621,0.713928526368906
"Q0110",187.503203147744,0.925563766089225,0.528760490194467,0.0115565127566276,0.0331566873982428
"Q0115",22.1150735314138,0.236906917249439,0.606819148260915,0.467007352820944,0.602559976359941
"Q0120",283.677411930181,0.716872201126013,0.369316123440646,0.0194285969626188,0.0509057321500234
"Q0130",9889.13673401805,0.0383327527694166,0.25251708874825,0.867634098068076,0.916887242455047
"Q0140",19.6783114160138,1.17243819456543,0.455568712289467,0.00073423833954835,0.00309993930692866
"Q0250",3203.12791215014,0.353830382052984,0.289586942639254,0.168972917271919,0.285194033486879
"Q0255",62.7059465470219,6.22630343380731,0.750082419970151,2.09308731663799e-18,1.06508767752781e-16
"Q0275",1803.82658885697,0.26741508037845,0.302653561284401,0.314526936567357,0.453114507534549
"Q0297",35.2848685213972,-0.138711076942499,0.264540203982696,0.561580156973763,0.684540132507838
"YAL001C",162.480974064557,-0.27267969146403,0.174892613910165,0.0996617212708122,0.190114319333108
"YAL002W",73.999293638725,-0.931873313833871,0.223757665363667,8.51018591602757e-06,6.49573532879947e-05
"YAL003W",353.723132151979,0.176572346824619,0.241168408182374,0.42412820236686,0.564822704758989
"YAL005C",3034.39420106575,0.022098142999634,0.147379535533821,0.874971844335247,0.92101463781324
"YAL007C",67.3238955626351,1.65706604489526,0.271606166140401,8.43257790225329e-12,1.96455359080206e-10
"YAL008W",60.0694642224305,-0.154070082565953,0.242635138115871,0.487881800925433,0.620386305823857
"YAL009W",28.6701117864595,0.0175918190530412,0.281928841058507,0.944286359182623,0.966273623146656
"YAL010C",20.4984304067592,0.557652067386595,0.339320292507984,0.0542913340870981,0.116862348437572
"YAL011W",61.5413444499325,-0.0468254968839438,0.37562566096396,0.878918506752604,0.923158837166731
"YAL012W",101.42967294384,2.60617887369033,0.266283430044705,3.95239527121838e-25,3.3228760823678e-23
"YAL013W",43.5491067729938,0.577341651705262,0.287664259927366,0.0247765184563832,0.0621932425640323
"YAL014C",22.9978040726944,0.255654497002895,0.329840758055898,0.366448328153257,0.506617433655159
"YAL015C",24.8277697716471,0.321424959785956,0.333971883871186,0.260495275737225,0.394964217080931
"YAL016C-A",26.2066492088846,-0.356615379754346,0.345381069633272,0.222484728139232,0.350525233008062
"YAL016C-B",35.2227550836361,-0.0841429779710883,0.413488258226392,0.794363457679978,0.863587409670456
"YAL016W",270.26402093518,0.0481768761893061,0.208156308266929,0.804052036205673,0.870531142595951
"YAL017W",397.117000567082,-0.944197477843314,0.162855472271819,1.90670078582073e-09,2.98939763744488e-08
"YAL019W",110.071035733472,0.0798671649274524,0.210263320604316,0.68345257005588,0.781105867580246
"YAL020C",13.8658280189252,-0.184406658265832,0.36639492492889,0.542873694469754,0.668339029525506
"YAL021C",83.4412268243768,-0.358367280627133,0.303894038215422,0.179422244379285,0.297975505194456
"YAL022C",36.5854078300222,-0.13883620201077,0.307241551854391,0.605611168107055,0.7166271343433
"YAL023C",168.464015212571,0.614480634356953,0.198588733282596,0.00113917711490121,0.00453248727266249
"YAL024C",45.6402462276396,0.27839508942021,0.283398262231488,0.270554519857929,0.405237998888677
"YAL025C",38.58949410555,0.159363160131709,0.39188303163161,0.612593115200555,0.721700378001304
"YAL026C",94.3903988589683,-0.194558607759486,0.219079140841342,0.337843113041236,0.477192086377456
"YAL026C-A",24.3570573713127,-0.24543906165333,0.404674568708115,0.443279937719359,0.582043213832051
"YAL027W",23.2308583063807,-0.210084838404235,0.316971958920389,0.445093324527593,0.583480139611643
"YAL028W",20.5362096027459,-0.571232201171517,0.386682192977863,0.0692363812514499,0.141822121341688
"YAL029C",199.890234699871,0.0290009725187135,0.197192212206521,0.875348994274977,0.92124446948279
"YAL030W",87.0329235798526,-0.0283737955597162,0.22326511270066,0.890858417133958,0.9304770755841
"YAL031C",78.3513755985491,-0.850164769269817,0.242133450693636,0.00014929847810399,0.000800806741460345
"YAL031W-A",21.2287401942174,-0.612153405291997,0.353818756922553,0.0400412572946865,0.0921012424926553
"YAL032C",37.7840665715778,-0.252310358896115,0.26251416299892,0.287869874636675,0.424213190337638
"YAL033W",18.2309527747821,0.299558106801754,0.339505913583185,0.299661555892177,0.437647705370221
"YAL034C",213.841565027544,-0.498836755812118,0.239054273466467,0.0240194023150486,0.0605284764681134
"YAL034W-A",10.6734133363184,0.35950161015388,0.390512481680146,0.253566712416941,0.387100390898966
"YAL035W",397.107391379619,0.500835973535659,0.234929010959445,0.0214968895413098,0.0550897777841362
"YAL036C",33.0590684574716,0.589015671434529,0.282880527349021,0.0203669997580262,0.0527922098285568
"YAL037C-B",995.676168825695,-1.0022881689892,0.24967739064801,1.2436041985544e-05,9.04028565891486e-05
"YAL037W",13.6260607068122,-1.26635783672503,0.49598627253277,0.000503165695477278,0.00227325872232374
"YAL038W",1428.47505457291,-1.48189646048508,0.178043984964693,1.82570680190974e-18,9.37250013971542e-17
"YAL039C",73.6380312645734,-0.127306511390621,0.224647854727546,0.539897112709733,0.666624968639497
"YAL040C",48.7553362154017,-0.34751742801847,0.280025499808143,0.165346431275048,0.280608715052441
"YAL041W",59.7119294937478,-0.244956708310045,0.24963415852877,0.281733556277504,0.418309792671052
"YAL042W",63.5865094069539,-0.233761769180826,0.229548464097754,0.269317122160001,0.404219566791763
