"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055085","transmembrane transport","221/1946","486/6449",0.454732510288066,1.50697325737294,7.64018262831974,1.0106460078122e-13,1.71809821328074e-10,1.5106498222035e-10,"Q0045/Q0085/Q0105/Q0130/Q0250/Q0275/YAL005C/YAL053W/YAR035W/YBL030C/YBL042C/YBL099W/YBR021W/YBR043C/YBR132C/YBR180W/YBR220C/YBR235W/YBR295W/YBR298C/YCL005W-A/YCL038C/YCR011C/YCR023C/YCR028C/YCR037C/YCR075C/YCR098C/YDL067C/YDL092W/YDL138W/YDL183C/YDL206W/YDL210W/YDL245C/YDR086C/YDR119W/YDR270W/YDR277C/YDR322C-A/YDR338C/YDR343C/YDR345C/YDR352W/YDR377W/YDR406W/YDR529C/YDR536W/YEL006W/YEL027W/YEL063C/YEL064C/YEL065W/YEL069C/YER019C-A/YER039C/YER053C/YER056C/YER060W/YER087C-B/YER103W/YFL050C/YFL054C/YFL055W/YFR033C/YGL008C/YGL077C/YGL080W/YGL139W/YGL191W/YGL253W/YGL255W/YGR121C/YGR125W/YGR138C/YGR183C/YGR191W/YGR217W/YGR224W/YGR240C/YGR243W/YGR257C/YGR260W/YGR281W/YHL008C/YHL016C/YHL028W/YHL035C/YHL036W/YHL040C/YHR001W-A/YHR002W/YHR039C-A/YHR092C/YHR094C/YHR096C/YHR175W/YIL022W/YIL047C/YIL088C/YIL090W/YIL114C/YIL120W/YIL121W/YIL166C/YIR028W/YJL034W/YJL108C/YJL166W/YJL193W/YJL198W/YJL212C/YJR045C/YJR095W/YJR106W/YJR121W/YJR124C/YJR152W/YKL016C/YKL073W/YKL120W/YKL175W/YKL195W/YKL197C/YKL217W/YKR016W/YKR039W/YKR065C/YKR093W/YKR103W/YKR104W/YKR105C/YLL015W/YLL053C/YLR004C/YLR034C/YLR038C/YLR092W/YLR152C/YLR188W/YLR220W/YLR237W/YLR241W/YLR295C/YLR378C/YLR411W/YLR447C/YML055W/YML081C-A/YML116W/YML123C/YMR026C/YMR058W/YMR088C/YMR155W/YMR205C/YMR221C/YMR256C/YMR279C/YMR319C/YNL055C/YNL065W/YNL070W/YNL101W/YNL121C/YNL142W/YNL291C/YNL305C/YNL329C/YNR017W/YNR055C/YNR072W/YOL027C/YOL044W/YOL075C/YOL077W-A/YOL119C/YOL126C/YOL130W/YOL137W/YOR011W/YOR020C/YOR045W/YOR065W/YOR071C/YOR079C/YOR092W/YOR100C/YOR161C/YOR232W/YOR270C/YOR273C/YOR306C/YOR324C/YOR328W/YOR348C/YOR365C/YOR378W/YOR390W/YPL006W/YPL026C/YPL036W/YPL063W/YPL078C/YPL092W/YPL265W/YPL271W/YPL274W/YPR020W/YPR021C/YPR058W/YPR115W/YPR124W/YPR128C/YPR133W-A/YPR138C/YPR156C/YPR191W/YPR194C/YPR198W/YPR201W",221
"GO:0006091","generation of precursor metabolites and energy","119/1946","233/6449",0.510729613733906,1.69254639207089,7.07789780253538,9.15537080895341e-12,5.19340408653123e-09,4.56633672004604e-09,"Q0045/Q0105/Q0250/Q0275/YAL017W/YAL038W/YBL021C/YBL030C/YBR010W/YBR117C/YBR145W/YBR196C/YBR218C/YBR221C/YBR238C/YCR005C/YCR012W/YDL021W/YDL067C/YDL085W/YDR031W/YDR050C/YDR148C/YDR529C/YEL011W/YEL039C/YER054C/YER065C/YER067W/YER073W/YFL018C/YFL053W/YFR003C/YFR015C/YFR017C/YFR021W/YFR033C/YGL062W/YGL134W/YGL191W/YGL226W/YGL253W/YGL256W/YGR043C/YGR087C/YGR177C/YGR183C/YGR240C/YGR254W/YGR256W/YHR001W-A/YHR174W/YHR183W/YIL050W/YIL057C/YIR031C/YJL045W/YJL052W/YJL116C/YJL137C/YJL166W/YJR009C/YJR048W/YJR120W/YJR121W/YKL055C/YKL060C/YKL085W/YKL148C/YKL152C/YKR058W/YLR038C/YLR044C/YLR087C/YLR134W/YLR154W-C/YLR164W/YLR174W/YLR258W/YLR377C/YLR446W/YML070W/YMR002W/YMR030W/YMR081C/YMR105C/YMR145C/YMR170C/YMR205C/YMR256C/YMR303C/YMR311C/YNL037C/YNL071W/YNL241C/YNL242W/YNR001C/YNR074C/YOL008W/YOL056W/YOL086C/YOL126C/YOL136C/YOR002W/YOR065W/YOR178C/YOR344C/YOR347C/YOR355W/YOR374W/YOR393W/YPL075W/YPL252C/YPL262W/YPL271W/YPR001W/YPR140W/YPR184W/YPR191W",119
"GO:0015980","energy derivation by oxidation of organic compounds","113/1946","218/6449",0.518348623853211,1.71779561933677,7.08733781288419,9.16483074093747e-12,5.19340408653123e-09,4.56633672004604e-09,"Q0045/Q0105/Q0250/Q0275/YAL017W/YAL038W/YBL021C/YBL030C/YBR010W/YBR145W/YBR196C/YBR218C/YBR221C/YBR238C/YCR005C/YCR012W/YDL021W/YDL067C/YDL085W/YDR031W/YDR050C/YDR148C/YDR529C/YEL011W/YEL039C/YER054C/YER065C/YER067W/YER073W/YFL018C/YFL053W/YFR003C/YFR015C/YFR017C/YFR021W/YFR033C/YGL062W/YGL134W/YGL191W/YGL226W/YGL253W/YGL256W/YGR087C/YGR177C/YGR183C/YGR240C/YGR254W/YHR001W-A/YHR174W/YIL050W/YIL057C/YIR031C/YJL045W/YJL052W/YJL116C/YJL137C/YJL166W/YJR009C/YJR048W/YJR120W/YJR121W/YKL055C/YKL060C/YKL085W/YKL148C/YKL152C/YKR058W/YLR038C/YLR044C/YLR087C/YLR134W/YLR154W-C/YLR164W/YLR174W/YLR258W/YLR377C/YLR446W/YML070W/YMR002W/YMR030W/YMR081C/YMR105C/YMR145C/YMR170C/YMR205C/YMR256C/YMR303C/YMR311C/YNL037C/YNL071W/YNL242W/YNR001C/YNR074C/YOL008W/YOL056W/YOL086C/YOL126C/YOL136C/YOR002W/YOR065W/YOR178C/YOR344C/YOR347C/YOR355W/YOR374W/YOR393W/YPL075W/YPL262W/YPL271W/YPR001W/YPR140W/YPR184W/YPR191W",113
"GO:0006007","glucose catabolic process","27/1946","32/6449",0.84375,2.79616842240493,6.69559205548586,2.89854548757624e-10,1.2318818322199e-07,1.08314068219954e-07,"YAL038W/YBR145W/YBR196C/YCR012W/YDL021W/YDR050C/YER073W/YGL253W/YGL256W/YGR087C/YGR240C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR044C/YLR134W/YLR377C/YMR170C/YMR205C/YMR303C/YOL056W/YOL086C/YOR347C/YOR374W",27
"GO:0006113","fermentation","29/1946","37/6449",0.783783783783784,2.59744173772951,6.40563356989123,1.78307780570442e-09,6.06246453939504e-07,5.33046417705323e-07,"YAL038W/YBR145W/YBR196C/YCR012W/YDL085W/YDR050C/YER073W/YFL053W/YGL253W/YGL256W/YGR087C/YGR177C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR044C/YLR087C/YLR134W/YLR377C/YML070W/YMR145C/YMR170C/YMR303C/YOL086C/YOR347C/YOR374W",29
"GO:0019662","non-glycolytic fermentation","25/1946","30/6449",0.833333333333333,2.76164782459746,6.35739198814091,2.30531319817961e-09,6.53172072817556e-07,5.74306094985096e-07,"YAL038W/YBR145W/YBR196C/YCR012W/YDR050C/YER073W/YFL053W/YGL253W/YGL256W/YGR087C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR044C/YLR134W/YLR377C/YML070W/YMR170C/YMR303C/YOL086C/YOR347C/YOR374W",25
"GO:0046034","ATP metabolic process","37/1946","54/6449",0.685185185185185,2.27068821133569,6.16380037912857,6.20115549003695e-09,1.50599490472326e-06,1.32415651065451e-06,"Q0085/Q0130/YAL038W/YBL099W/YBR196C/YCR012W/YDL021W/YDR050C/YDR322C-A/YDR377W/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR377C/YLR446W/YML081C-A/YMR205C/YOL056W/YOL077W-A/YOL136C/YOR020W-A/YOR344C/YOR347C/YOR393W/YPL075W/YPL078C/YPL271W/YPR020W",37
"GO:0019320","hexose catabolic process","31/1946","43/6449",0.720930232558139,2.38914649011688,6.00788713641852,1.61180831185596e-08,2.76035365458193e-06,2.4270601792609e-06,"YAL038W/YBR145W/YBR196C/YCR012W/YDL021W/YDR050C/YER073W/YGL156W/YGL253W/YGL256W/YGR087C/YGR240C/YGR254W/YHR174W/YJL052W/YJR009C/YJR030C/YKL060C/YKL152C/YLR044C/YLR134W/YLR377C/YMR105C/YMR170C/YMR205C/YMR303C/YNR071C/YOL056W/YOL086C/YOR347C/YOR374W",31
"GO:0006811","monoatomic ion transport","109/1946","230/6449",0.473913043478261,1.57053711068412,5.79189255794001,1.74550146208474e-08,2.76035365458193e-06,2.4270601792609e-06,"Q0045/Q0085/Q0105/Q0130/Q0250/Q0275/YAL048C/YBL030C/YBL099W/YBR235W/YBR290W/YBR295W/YBR298C/YCL005W-A/YCR023C/YDL067C/YDL120W/YDL138W/YDL183C/YDL206W/YDL245C/YDR107C/YDR270W/YDR276C/YDR322C-A/YDR343C/YDR345C/YDR377W/YDR506C/YDR529C/YDR536W/YEL027W/YEL065W/YEL069C/YER053C/YER113C/YFL050C/YFR033C/YGL008C/YGL160W/YGL191W/YGL255W/YGR183C/YGR191W/YGR217W/YGR240C/YGR281W/YHL008C/YHL040C/YHR001W-A/YHR039C-A/YHR092C/YHR094C/YHR096C/YHR175W/YIL114C/YIL121W/YJL166W/YJR106W/YJR121W/YKL016C/YKL175W/YKL217W/YLL009C/YLL015W/YLL051C/YLR034C/YLR038C/YLR083C/YLR092W/YLR214W/YLR220W/YLR241W/YLR295C/YLR411W/YLR443W/YLR447C/YML081C-A/YML123C/YMR034C/YMR058W/YMR205C/YMR256C/YMR319C/YNL055C/YNL259C/YNL291C/YNL305C/YNR055C/YNR072W/YOL027C/YOL077W-A/YOL130W/YOL152W/YOR065W/YOR079C/YOR270C/YOR381W/YOR383C/YOR384W/YOR390W/YPL036W/YPL078C/YPL271W/YPR020W/YPR124W/YPR128C/YPR191W/YPR201W",109
"GO:0019658","glucose fermentation to lactate and acetate","23/1946","28/6449",0.821428571428571,2.7221957128175,6.00334280599554,1.7861111882589e-08,2.76035365458193e-06,2.4270601792609e-06,"YAL038W/YBR145W/YBR196C/YCR012W/YDR050C/YER073W/YGL253W/YGL256W/YGR087C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR044C/YLR134W/YLR377C/YMR170C/YMR303C/YOL086C/YOR347C/YOR374W",23
